brand_guess,count
AmazonBasics,58
Samsung,36
Xiaomi-MI,29
Xiaomi-Redmi,26
Philips,22
TP-Link,20
Fire-Boltt,20
Duracell,20
HP,19
SanDisk,17
iQOO,14
OnePlus,13
Local,13
Acer,9
Logitech,8
Lenovo,8
Belkin,7
JBL,7
Nokia,6
LG,6
Realme,6
Kodak,5
Redgear,5
Amazon,4
Casio,4
Spigen,4
IKEA,4
TCL,4
Crucial,3
Infinity,3
D-Link,3
BlueRigger,3
OPPO,3
Panasonic,3
Camel,3
Western,3
Sony,3
Canon,3
Hisense,2
Smashtronics,2
CEDO,2
Firestick,2
ESR,2
LIRAMARK,2
Xiaomi-Poco,2
Motorola,2
Luxor,2
Dell,2
Eveready,2
Seagate,2
Pilot,2
Hindware,2
Orient,2
oraimo,2
Sansui,2
Tecno,2
Oraimo,2
3M,2
Racold,2
Rico,2
Black+Decker,2
ROYAL,2
Shakti,2
SKYWALL,1
Gilary,1
Model-P4,1
CableCreation,1
SVM,1
Caprigo,1
Universal,1
LRIPL,1
iFFALCON,1
GENERIC,1
EGate,1
Tokdis,1
10WeRun,1
SHREENOVA,1
EN,1
Myvn,1
Kyosei,1
KRISONS,1
Cubetek,1
Technotech,1
WANBO,1
PROLEGEND,1
NK,1
Storio,1
SKE,1
Mobilife,1
Prolet,1
Epson,1
MemeHo,1
Oakter,1
Hi-Mobiler,1
SoniVision,1
RtsTM,1
WZATCO,1
Posh,1
Caldipree,1
Syncwire,1
MYVN,1
EYNK,1
Aine,1
ZORBES,1
Bestor,1
Toshiba,1
Dyazo,1
Wembley,1
APC,1
HUMBLE,1
Brand,1
Tarkan,1
Callas,1
Kanget,1
rts,1
Fujifilm,1
COI,1
DYAZO,1
SYVO,1
OFIXO,1
Anjaney,1
FEDUS,1
Ant,1
Apsara,1
CP,1
IT2M,1
Wacom,1
Qubo,1
Redragon,1
KLAM,1
Silicone,1
Faber-Castell,1
SaleOnTM,1
Verilux,1
Cuzor,1
INOVERA,1
ESnipe,1
TABLE,1
Tabelito,1
Amazfit,1
RC,1
Cablet,1
Sennheiser,1
Scarters,1
Artis,1
Orico,1
Inventis,1
Offbeat,1
CARECASE,1
Camlin,1
BESTOR,1
Foxin,1
PC,1
Xiaomi,1
NutriPro,1
PRO365,1
Glun,1
Bosch,1
VR,1
Milton,1
Themisto,1
Room,1
White,1
Cookwell,1
atomberg,1
Wings,1
ProElite,1
Pentonic,1
RESONATE,1
BRUSTRO,1
Heart,1
HOMEPACK,1
Coway,1
Brayden,1
Reffair,1
Vedini,1
Oratech,1
WIDEWINGS,1
Eopora,1
FIGMENT,1
Swiss,1
Balzano,1
Zuvexa,1
Sui,1
Esquire,1
MILTON,1
Personal,1
Tesora,1
MR.,1
Allin,1
Aquadpure,1
HANEUL,1
Melbon,1
AMERICAN,1
Instant,1
Livpure,1
Preethi,1
ECOVACS,1
Nirdambhay,1
Proven,1
AO,1
Tosaa,1
Goodscity,1
Solidaire,1
Longway,1
SaiEllin,1
Singer,1
Green,1
SaleOn,1
KHAITAN,1
Kenstar,1
NEXOMS,1
JIALTO,1
Ionix,1
Saiyam,1
KONVIO,1
Raffles,1
KNYUC,1
Macmillan,1
TETM,1
ZIGMA,1
VAPJA,1
FYA,1
LONAXA,1
Glen,1
Dynore,1
Karcher,1
Eco,1
Larrito,1
Hilton,1
Syska,1
KNOWZA,1
Libra,1
Noir,1
